"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_010562655.1	null	Animals	Canada
GCA_010562745.1	null	Animals	Canada
GCA_010563625.1	null	Animals	Canada
GCA_010564045.1	null	Animals	Canada
GCA_010564165.1	null	Animals	Canada
GCA_010564645.1	null	Animals	Canada
GCA_010564865.1	null	Animals	Canada
GCA_010564885.1	null	Animals	Canada
GCA_010564925.1	null	Animals	Canada
GCA_010596515.1	null	Animals	Canada
GCA_010596665.1	null	Animals	Canada
GCA_010596705.1	null	Animals	Canada
GCA_010596785.1	null	Animals	Canada
GCA_010596905.1	null	Animals	Canada
GCA_010596945.1	null	Animals	Canada
GCA_010596965.1	null	Animals	Canada
GCA_010597005.1	null	Animals	Canada
GCA_010597025.1	null	Animals	Canada
GCA_010597085.1	null	Animals	Canada
GCA_010600165.1	null	Animals	Canada
GCA_010600365.1	null	Animals	Canada
GCA_010600525.1	null	Animals	Canada
GCA_010600565.1	null	Animals	Canada
GCA_010600615.1	null	Animals	Canada
GCA_010600665.1	null	Animals	Canada
GCA_010600765.1	null	Animals	Canada
GCA_010600795.1	null	Animals	Canada
GCA_010600825.1	null	Animals	Canada
GCA_010600845.1	null	Animals	Canada
GCA_010600855.1	null	Animals	Canada
GCA_010600885.1	null	Animals	Canada
GCA_010600905.1	null	Animals	Canada
GCA_010601025.1	null	Animals	Canada
GCA_010601045.1	null	Animals	Canada
GCA_010601055.1	null	Animals	Canada
GCA_010601085.1	null	Animals	Canada
GCA_010601125.1	null	Animals	Canada
GCA_010601185.1	null	Animals	Canada
GCA_010601265.1	null	Animals	Canada
GCA_010601285.1	null	Animals	Canada
GCA_010601305.1	null	Animals	Canada
GCA_010601325.1	null	Animals	Canada
GCA_010601395.1	null	Animals	Canada
GCA_010601435.1	null	Animals	Canada
GCA_010601565.1	null	Animals	Canada
GCA_010601705.1	null	Animals	Canada
GCA_010601725.1	null	Animals	Canada
GCA_010601845.1	null	Animals	Canada
GCA_010601965.1	null	Animals	Canada
GCA_010602025.1	null	Animals	Canada
GCA_010602165.1	null	Animals	Canada
GCA_010602245.1	null	Animals	Canada
GCA_010605445.1	null	Animals	Canada
GCA_010605485.1	null	Animals	Canada
GCA_010605625.1	null	Animals	Canada
GCA_010605785.1	null	Animals	Canada
GCA_010605865.1	null	Animals	Canada
GCA_010606105.1	null	Animals	Canada
GCA_010606185.1	null	Animals	Canada
